Date,Price,Open,High,Low,Vol.,Change %
8-Jun-09,80.97,80.9,81.53,80.58,13.35K,0.30%
5-Jun-09,80.73,79.505,80.885,79.185,9.69K,1.61%
4-Jun-09,79.45,79.5,80,79.075,12.13K,-0.11%
3-Jun-09,79.535,78.55,79.695,78.385,8.02K,1.36%
2-Jun-09,78.47,79.13,79.5,78.375,6.81K,-0.87%
1-Jun-09,79.16,79.305,79.535,78.625,6.52K,-0.34%
29-May-09,79.43,80.5,80.505,79.255,8.64K,-1.33%
28-May-09,80.5,80.9,81.195,80.315,5.64K,0.11%
27-May-09,80.415,80.16,80.98,80.035,7.24K,0.26%
26-May-09,80.205,80.17,80.825,80.1,7.26K,0.11%
25-May-09,80.115,80,80.385,79.975,0.57K,0.07%
22-May-09,80.055,80.455,80.57,79.905,11.52K,-0.73%
21-May-09,80.64,81.12,81.5,80.44,11.57K,-0.54%
20-May-09,81.08,82.16,82.34,80.98,7.66K,-1.19%
19-May-09,82.055,82.65,82.74,81.97,5.29K,-0.85%
18-May-09,82.755,83,83.335,82.56,4.20K,-0.48%
15-May-09,83.15,82.495,83.225,82.375,5.90K,0.95%
14-May-09,82.37,82.91,83.015,82.32,4.77K,-0.31%
13-May-09,82.625,82.27,82.88,81.98,6.17K,0.25%
12-May-09,82.42,82.89,83.01,82.11,6.69K,-0.45%
11-May-09,82.795,82.41,82.965,82.4,4.27K,0.19%
8-May-09,82.64,83.99,84.235,82.495,7.44K,-1.74%
7-May-09,84.105,84.155,84.54,83.555,5.59K,0.20%
6-May-09,83.94,84.3,84.57,83.9,3.90K,-0.42%
5-May-09,84.295,83.81,84.47,83.62,4.31K,0.21%
4-May-09,84.115,84.74,85.03,83.81,5.34K,-0.70%
1-May-09,84.705,84.9,84.965,84.43,2.01K,-0.08%
30-Apr-09,84.775,84.74,85.14,84.035,3.98K,0.14%
29-Apr-09,84.655,85.44,85.44,84.24,7.20K,-0.79%
28-Apr-09,85.325,85.9,86.23,85.23,4.09K,-0.69%
27-Apr-09,85.92,84.865,86.075,84.865,4.30K,1.18%
24-Apr-09,84.92,85.7,85.76,84.635,8.84K,-0.97%
23-Apr-09,85.755,86.51,86.66,85.515,5.77K,-0.84%
22-Apr-09,86.485,86.795,87.08,86.375,3.58K,-0.47%
21-Apr-09,86.89,87.035,87.16,86.515,4.85K,-0.10%
20-Apr-09,86.98,86.36,87.22,86.14,9.88K,0.79%
17-Apr-09,86.295,85.465,86.34,85.435,6.94K,0.93%
16-Apr-09,85.5,85.13,85.76,84.9,3.30K,0.16%
15-Apr-09,85.36,85.095,85.64,84.855,3.15K,0.51%
14-Apr-09,84.925,84.825,85.35,84.825,2.54K,-0.01%
13-Apr-09,84.93,85.74,86.22,84.715,4.06K,-1.33%
9-Apr-09,86.075,85.615,86.24,85.26,5.11K,0.43%
8-Apr-09,85.71,85.62,86.13,85.32,4.05K,0.05%
7-Apr-09,85.665,85.375,85.84,85.015,5.16K,0.69%
6-Apr-09,85.075,84.315,85.265,84.1,4.15K,0.61%
3-Apr-09,84.555,84.665,85.205,84.52,3.32K,-0.39%
2-Apr-09,84.89,85.935,85.935,84.465,6.13K,-1.24%
1-Apr-09,85.96,86.01,86.485,85.8,3.75K,0.08%
31-Mar-09,85.895,86.185,86.31,85.565,4.17K,-0.47%
30-Mar-09,86.3,85.97,86.615,85.68,3.78K,0.84%
27-Mar-09,85.58,84.54,85.86,84.165,4.38K,1.15%
26-Mar-09,84.61,84.215,84.735,83.915,3.26K,0.37%
25-Mar-09,84.295,84.625,84.83,83.65,6.86K,-0.04%
24-Mar-09,84.33,83.915,84.78,83.7,7.10K,0.45%
23-Mar-09,83.95,84.03,84.67,83.38,7.29K,-0.46%
20-Mar-09,84.34,83.605,84.55,83.28,7.25K,0.84%
19-Mar-09,83.64,84.685,85.04,83.145,10.84K,-1.58%
18-Mar-09,84.98,87.23,87.53,84.36,9.26K,-2.71%
17-Mar-09,87.345,87.52,87.845,87.2,3.93K,0.52%
16-Mar-09,86.89,87.095,87.105,86.52,0.21K,-0.65%
13-Mar-09,87.455,87.38,87.625,87.195,2.93K,-0.24%
12-Mar-09,87.665,87.82,88.585,87.195,5.45K,-0.25%
11-Mar-09,87.885,88.485,89.035,87.545,9.67K,-1.19%
10-Mar-09,88.94,89.09,89.105,87.83,12.34K,-0.07%
9-Mar-09,89,88.62,89.47,88.155,9.35K,0.51%
6-Mar-09,88.55,89.125,89.125,87.91,12.26K,-0.73%
5-Mar-09,89.2,88.82,89.6,88.77,4.41K,0.56%
4-Mar-09,88.7,89.71,89.71,88.52,5.37K,-0.36%
3-Mar-09,89.02,89.05,89.455,88.465,8.76K,-0.06%
2-Mar-09,89.07,88.4,89.195,88.4,4.54K,1.04%
27-Feb-09,88.15,88.06,88.675,87.84,6.28K,0.31%
26-Feb-09,87.875,87.91,88.245,87.475,3.21K,-0.28%
25-Feb-09,88.12,86.975,88.24,86.84,5.16K,1.23%
24-Feb-09,87.05,87.515,87.84,86.95,3.97K,-0.43%
23-Feb-09,87.43,85.92,87.59,85.81,6.05K,0.84%
20-Feb-09,86.7,87.99,88.395,86.435,8.44K,-1.20%
19-Feb-09,87.75,88.21,88.24,87.22,4.70K,-0.66%
18-Feb-09,88.33,88.11,88.57,87.79,5.50K,0.47%
17-Feb-09,87.92,86.96,88.21,86.96,6.72K,1.10%
16-Feb-09,86.96,86.955,87.155,86.65,0.95K,0.74%
13-Feb-09,86.325,86.405,86.55,85.97,4.21K,-0.67%
12-Feb-09,86.905,86.085,87.12,85.87,10.71K,0.91%
11-Feb-09,86.125,86.055,86.495,85.585,5.14K,-0.01%
10-Feb-09,86.135,85.65,86.305,84.97,5.20K,1.28%
9-Feb-09,85.05,85.565,85.9,84.665,5.40K,-0.69%
6-Feb-09,85.645,86.35,86.645,85.355,5.32K,-0.83%
5-Feb-09,86.36,86.29,86.435,85.745,3.19K,0.33%
4-Feb-09,86.075,85.64,86.335,85.125,3.68K,0.76%
3-Feb-09,85.43,86.44,86.665,85.165,5.60K,-1.21%
2-Feb-09,86.48,86.685,86.97,86.13,4.05K,0.02%
30-Jan-09,86.46,86.105,86.63,85.92,4.73K,0.82%
29-Jan-09,85.755,85.315,85.95,84.76,4.17K,0.64%
28-Jan-09,85.21,85,85.385,84.02,5.99K,0.33%
27-Jan-09,84.93,85.12,85.3,84.255,3.59K,-0.32%
26-Jan-09,85.205,86.265,86.86,84.87,3.51K,-1.14%
23-Jan-09,86.19,86.27,87.405,85.845,4.94K,0.07%
22-Jan-09,86.13,86.24,86.74,85.825,4.82K,-0.45%
21-Jan-09,86.515,87.025,87.2,85.885,3.71K,-0.40%
20-Jan-09,86.865,86.055,87.085,85.93,4.35K,1.76%
19-Jan-09,85.365,84.28,85.49,84.1,0.70K,0.62%
16-Jan-09,84.835,85.215,85.215,84.045,0.70K,-0.38%
15-Jan-09,85.155,85.215,85.92,84.765,3.98K,-0.02%
14-Jan-09,85.17,84.855,85.37,84.18,3.59K,0.21%
13-Jan-09,84.995,84.195,85.205,84.085,4.82K,1.49%
12-Jan-09,83.745,83.365,84.19,83.365,2.56K,0.35%
9-Jan-09,83.455,82.52,83.5,82.085,3.73K,1.36%
8-Jan-09,82.335,83.245,83.5,81.99,3.58K,-0.94%
7-Jan-09,83.115,83.87,84.095,82.47,4.10K,-0.72%
