Date,Price,Open,High,Low,Vol.,Change %
4-Mar-14,"46,557","46,992","47,188","46,278",0.66K,-1.33%
3-Mar-14,"47,186","46,362","47,385","46,362",2.70K,1.78%
28-Feb-14,"46,362","46,388","46,740","46,255",18.17K,-0.31%
27-Feb-14,"46,505","46,804","46,924","46,289",11.43K,-0.29%
26-Feb-14,"46,642","47,851","47,942","46,202",29.83K,-2.46%
25-Feb-14,"47,817","47,850","47,977","47,362",21.52K,-0.35%
24-Feb-14,"47,985","47,310","48,343","47,162",24.30K,1.09%
21-Feb-14,"47,467","47,380","47,683","47,250",15.41K,-0.04%
20-Feb-14,"47,486","47,592","47,670","47,151",20.33K,-0.63%
19-Feb-14,"47,787","47,900","48,022","47,381",23.51K,-0.49%
18-Feb-14,"48,023","47,499","48,090","46,932",33.47K,0.60%
17-Feb-14,"47,735","47,492","47,931","47,050",29.85K,2.41%
14-Feb-14,"46,613","44,999","46,717","44,999",32.01K,3.76%
13-Feb-14,"44,922","44,775","44,990","44,618",15.29K,0.19%
12-Feb-14,"44,839","44,558","44,899","44,523",14.37K,0.31%
11-Feb-14,"44,700","44,780","44,920","44,411",23.57K,0.07%
10-Feb-14,"44,670","44,544","45,018","44,487",18.96K,0.68%
7-Feb-14,"44,369","44,401","44,700","44,160",22.08K,-0.10%
6-Feb-14,"44,413","44,505","45,020","44,280",26.24K,0.05%
5-Feb-14,"44,392","43,772","45,223","43,772",35.40K,1.92%
4-Feb-14,"43,557","43,717","43,913","43,405",22.22K,-0.69%
3-Feb-14,"43,858","43,250","44,150","42,928",25.65K,1.27%
31-Jan-14,"43,309","43,269","44,033","43,185",28.68K,0.21%
30-Jan-14,"43,220","44,326","44,450","43,080",36.37K,-2.67%
29-Jan-14,"44,405","44,100","45,074","43,844",33.44K,0.53%
28-Jan-14,"44,169","45,025","45,025","44,127",24.49K,-2.31%
27-Jan-14,"45,214","44,880","45,439","44,810",20.86K,1.17%
24-Jan-14,"44,691","44,864","45,649","44,622",29.32K,-0.49%
23-Jan-14,"44,910","44,230","45,180","44,112",30.12K,1.29%
22-Jan-14,"44,338","44,558","44,596","44,200",14.51K,-0.32%
21-Jan-14,"44,480","44,900","44,918","44,140",26.52K,-1.21%
20-Jan-14,"45,024","45,084","45,265","44,955",11.53K,-0.25%
17-Jan-14,"45,136","44,560","45,274","44,380",22.63K,1.33%
16-Jan-14,"44,545","44,801","44,931","44,402",19.10K,-0.54%
15-Jan-14,"44,785","44,666","44,889","44,314",17.96K,-0.35%
14-Jan-14,"44,941","45,100","45,600","44,652",20.32K,-0.39%
13-Jan-14,"45,118","44,860","45,190","44,350",21.64K,0.66%
10-Jan-14,"44,824","44,079","44,912","43,950",25.73K,1.59%
9-Jan-14,"44,124","44,170","44,254","43,680",22.53K,0.58%
8-Jan-14,"43,869","44,340","44,489","43,600",28.65K,-1.48%
7-Jan-14,"44,526","45,427","45,575","44,350",26.85K,-1.86%
6-Jan-14,"45,370","45,421","45,740","45,033",27.42K,-0.23%
4-Jan-14,"45,475","45,475","45,475","45,475",-,0.00%
3-Jan-14,"45,475","45,300","45,729","45,064",24.57K,0.28%
2-Jan-14,"45,348","44,000","45,500","44,000",30.70K,3.35%
1-Jan-14,"43,876","43,870","44,034","43,735",2.30K,0.10%
31-Dec-13,"43,833","44,112","44,588","42,435",42.03K,-0.84%
30-Dec-13,"44,203","44,829","44,879","44,127",21.28K,-2.11%
27-Dec-13,"45,154","44,747","45,226","44,614",17.29K,0.84%
26-Dec-13,"44,776","44,029","45,098","43,983",19.59K,1.78%
24-Dec-13,"43,992","43,799","44,150","43,709",11.28K,0.18%
23-Dec-13,"43,913","43,876","44,136","43,700",14.28K,-0.21%
20-Dec-13,"44,007","43,866","44,295","43,566",21.27K,0.31%
